Dir                  aB                  eB                  iB                  aC                  eC                  iC                 gB                  nB                  MB                  gC                  nC                  MC
  1  23.849181080106625 0.20807120822559838                 0.0  408.10531827886382 0.42588936039266112  56.199496275076939  79.718565186571524  323.20707990966463  39.613323681082136  338.81640620079418  326.24509513725798  150.72859101471292 
  1  23.439861400372155 0.025245813584245276                 0.0  59.559796881576396 0.26925046554245646  18.361037891845903  341.99960188852629  4.0801546974584335  353.30574101130799  121.59891650599116  60.959543730056694  85.737250725270158 
  1  24.756328735531248 0.31693189824478646                 0.0  231.04607468008138   0.611073711605989  121.90127920685309  167.66723943695041  206.93481093687296  155.50176410347248   194.3280084559791  61.139745151641563  245.22961931713721 
  1  26.138282303020414 0.036561163021102454                 0.0  266.00409367234414 0.23230367296939344   7.439282036446091  334.10472725859671  325.81718614398733  101.33184747115978  177.80526529868644  307.27696706819012  65.492753114262712 
  1  26.606804198144907 0.053914704361566507                 0.0  258.78701271547646 0.40753079114947954  144.81051381829138  306.97944305657222  137.72709247340373  323.25735202303991   64.88935850049026  102.14947318739812  46.040411197256546 
  1  25.207654377120935 0.0011901957493792993                 0.0  192.49338382239551 0.28331217607358733  27.889132214022183  102.65502946133854  225.27715678907055  81.108800975378202  149.08376492141491   205.4889788336217  286.84060565630722 
  1  24.022641388587079 0.053646588131298523                 0.0  293.53370116946007 0.16625278430875448  100.47753201450092   138.8371594003433  181.28175794588338   303.1829205024552  133.50254034671627   124.7593295041963  335.82953861539443 
  1  25.823177568684088 0.48391661484102205                 0.0   150.8601570611558 0.44808838248714966  122.12097539540287  238.22747756391314  101.96380684763582  208.57992869625511  21.429726526564128  253.10866058675811  183.20085442998865 
  1  24.831190564208253 0.14646155254641977                 0.0  522.52988033591964 0.45571331365654349  53.676828343443304  356.65290763158987  51.864702632222325  124.78648103539875  290.60099153439819  19.552008851870628  283.19508022560001 
  2   26.75877565007405 0.068069796566059076                 0.0  81.190939933997072 0.27892320893316014  91.649796295262021  193.11186963149262    133.947335795171   318.7435533601307  157.08466697260903  164.67438254470318  19.493619196596519 
  2  24.125333778554516 0.46026302014976123                 0.0  380.81326888974655  0.3138268440595548  169.97168680441339  132.45833767480013  41.110383904678301  334.42841428786386  306.45381260390792  288.16158024373004   152.3426052593438 
  2  25.614486281446933  0.1868295182988623                 0.0   305.6919127820322 0.54211133917184329  161.00294266452687  14.905590802316912  37.752237226064111  182.54140352991467  157.73187978081029  209.45108272663379  74.465282167604954 
  2  27.636867638246368 0.37796865659457651                 0.0  347.21947431772503 0.30326952207300489  118.39799377123667   110.7782403470385  247.41113527191024  357.36745950105643  264.89661769202905   301.0480232815724  120.02934684483945 
